0;7
1;2
2;1
3;0
4;4
5;1
6;4
7;9
8;5
9;9
10;0
11;6
12;9
13;0
14;1
15;5
16;9
17;7
18;3
19;4
20;9
21;6
22;6
23;5
24;4
25;0
26;7
27;4
28;0
29;1
30;3
31;1
32;3
33;4
34;7
35;2
36;7
37;1
38;2
39;1
40;1
41;7
42;4
43;2
44;3
45;5
46;1
47;2
48;4
49;4
50;6
51;3
52;5
53;5
54;6
55;0
56;4
57;1
58;9
59;5
60;7
61;8
62;9
63;3
64;7
65;4
66;6
67;4
68;3
69;0
70;7
71;0
72;2
73;9
74;1
75;7
76;3
77;2
78;9
79;7
80;7
81;6
82;2
83;7
84;8
85;4
86;7
87;3
88;6
89;1
90;3
91;6
92;9
93;3
94;1
95;4
96;1
97;7
98;6
99;9
100;6
101;0
102;5
103;4
104;9
105;9
106;2
107;1
108;9
109;4
110;8
111;7
112;3
113;9
114;7
115;4
116;4
117;4
118;9
119;2
120;5
121;4
122;7
123;6
124;7
125;9
126;0
127;5
128;8
129;5
130;6
131;6
132;5
133;7
134;8
135;1
136;0
137;1
138;6
139;4
140;6
141;7
142;3
143;1
144;7
145;1
146;8
147;2
148;0
149;2
150;9
151;9
152;5
153;5
154;1
155;5
156;6
157;0
158;3
159;4
160;4
161;6
162;5
163;4
164;6
165;5
166;4
167;5
168;1
169;4
170;4
171;7
172;2
173;3
174;2
175;7
176;1
177;8
178;1
179;8
180;1
181;8
182;5
183;0
184;8
185;9
186;2
187;5
188;0
189;1
190;1
191;1
192;0
193;9
194;0
195;3
196;1
197;6
198;4
199;2
200;3
201;6
202;1
203;1
204;1
205;3
206;9
207;5
208;2
209;9
210;4
211;5
212;9
213;3
214;9
215;0
216;3
217;6
218;5
219;5
220;7
221;2
222;2
223;7
224;1
225;2
226;8
227;4
228;1
229;7
230;3
231;3
232;8
233;8
234;7
235;9
236;2
237;2
238;4
239;1
240;5
241;9
242;8
243;7
244;2
245;3
246;0
247;4
248;4
249;2
250;4
251;1
252;9
253;5
254;7
255;7
256;2
257;8
258;2
259;6
260;8
261;5
262;7
263;7
264;9
265;1
266;8
267;1
268;8
269;0
270;3
271;0
272;1
273;9
274;9
275;4
276;1
277;8
278;2
279;1
280;2
281;9
282;7
283;5
284;9
285;2
286;6
287;4
288;1
289;5
290;8
291;2
292;9
293;2
294;0
295;4
296;0
297;0
298;2
299;8
300;4
301;7
302;1
303;2
304;4
305;0
306;2
307;7
308;4
309;3
310;3
311;0
312;0
313;3
314;1
315;9
316;6
317;5
318;2
319;5
320;9
321;2
322;9
323;3
324;0
325;4
326;2
327;0
328;7
329;1
330;1
331;2
332;1
333;5
334;3
335;3
336;9
337;7
338;8
339;6
340;5
341;6
342;1
343;3
344;8
345;1
346;0
347;5
348;1
349;3
350;1
351;5
352;5
353;6
354;1
355;8
356;5
357;1
358;7
359;9
360;4
361;6
362;2
363;2
364;5
365;0
366;6
367;5
368;6
369;3
370;7
371;2
372;0
373;8
374;8
375;5
376;4
377;1
378;1
379;4
380;0
381;3
382;3
383;7
384;6
385;1
386;6
387;2
388;1
389;9
390;2
391;8
392;6
393;1
394;9
395;5
396;2
397;5
398;4
399;4
400;2
401;8
402;3
403;8
404;2
405;4
406;5
407;0
408;3
409;1
410;7
411;7
412;5
413;7
414;9
415;7
416;1
417;9
418;2
419;1
420;4
421;2
422;9
423;2
424;0
425;4
426;9
427;1
428;4
429;8
430;1
431;8
432;4
433;5
434;9
435;8
436;8
437;3
438;7
439;6
440;0
441;0
442;3
443;0
444;2
445;6
446;6
447;4
448;9
449;3
450;3
451;3
452;2
453;3
454;9
455;1
456;2
457;6
458;8
459;0
460;5
461;6
462;6
463;6
464;3
465;8
466;8
467;2
468;7
469;5
470;8
471;9
472;6
473;1
474;8
475;4
476;1
477;2
478;5
479;9
480;1
481;9
482;7
483;5
484;4
485;0
486;8
487;9
488;9
489;1
490;0
491;5
492;2
493;3
494;7
495;8
496;9
497;4
498;0
499;6
500;3
501;9
502;5
503;2
504;1
505;3
506;1
507;3
508;6
509;5
510;7
511;4
512;2
513;2
514;6
515;3
516;2
517;6
518;5
519;4
520;8
521;9
522;7
523;1
524;3
525;0
526;3
527;8
528;3
529;1
530;9
531;3
532;4
533;4
534;6
535;4
536;2
537;1
538;8
539;2
540;5
541;4
542;8
543;8
544;4
545;0
546;0
547;2
548;3
549;2
550;7
551;7
552;0
553;8
554;7
555;4
556;4
557;7
558;9
559;6
560;9
561;0
562;9
563;8
564;0
565;4
566;6
567;0
568;6
569;3
570;5
571;4
572;8
573;3
574;3
575;9
576;3
577;3
578;3
579;7
580;8
581;0
582;8
583;2
584;1
585;7
586;0
587;6
588;5
589;4
590;3
591;8
592;0
593;9
594;6
595;3
596;8
597;0
598;9
599;9
600;6
601;8
602;6
603;8
604;5
605;7
606;8
607;6
608;0
609;2
610;4
611;0
612;2
613;2
614;3
615;1
616;9
617;7
618;5
619;1
620;0
621;8
622;4
623;6
624;2
625;6
626;7
627;9
628;3
629;2
630;9
631;8
632;2
633;2
634;9
635;2
636;7
637;3
638;5
639;9
640;1
641;8
642;0
643;2
644;0
645;5
646;2
647;1
648;3
649;7
650;6
651;7
652;1
653;2
654;5
655;8
656;0
657;3
658;7
659;2
660;4
661;0
662;9
663;1
664;8
665;6
666;7
667;7
668;4
669;3
670;4
671;9
672;1
673;9
674;5
675;1
676;7
677;3
678;9
679;7
680;6
681;9
682;1
683;3
684;7
685;8
686;3
687;3
688;6
689;7
690;2
691;8
692;5
693;8
694;5
695;1
696;1
697;4
698;4
699;3
700;1
701;0
702;7
703;7
704;0
705;7
706;9
707;4
708;4
709;8
710;5
711;5
712;4
713;0
714;8
715;2
716;1
717;0
718;8
719;4
720;5
721;0
722;4
723;0
724;6
725;1
726;7
727;3
728;2
729;6
730;7
731;2
732;6
733;9
734;3
735;1
736;4
737;6
738;2
739;5
740;4
741;2
742;0
743;6
744;2
745;1
746;7
747;3
748;4
749;1
750;0
751;5
752;4
753;3
754;1
755;1
756;7
757;4
758;9
759;9
760;4
761;8
762;4
763;0
764;2
765;4
766;5
767;1
768;1
769;6
770;4
771;7
772;1
773;9
774;4
775;2
776;4
777;1
778;5
779;5
780;3
781;8
782;3
783;1
784;4
785;5
786;6
787;8
788;9
789;4
790;1
791;5
792;3
793;8
794;0
795;3
796;2
797;5
798;1
799;2
800;8
801;3
802;4
803;4
804;0
805;8
806;8
807;3
808;3
809;1
810;7
811;3
812;5
813;9
814;6
815;3
816;2
817;6
818;1
819;3
820;6
821;0
822;7
823;2
824;1
825;7
826;1
827;4
828;2
829;4
830;2
831;1
832;7
833;9
834;6
835;1
836;1
837;2
838;4
839;8
840;1
841;7
842;7
843;4
844;8
845;0
846;7
847;3
848;1
849;3
850;1
851;0
852;7
853;7
854;0
855;3
856;5
857;5
858;2
859;7
860;6
861;6
862;9
863;2
864;8
865;3
866;5
867;2
868;2
869;5
870;6
871;0
872;8
873;2
874;9
875;2
876;8
877;8
878;8
879;8
880;7
881;4
882;9
883;3
884;0
885;6
886;6
887;3
888;2
889;1
890;3
891;2
892;2
893;9
894;3
895;0
896;0
897;5
898;7
899;8
900;1
901;4
902;4
903;6
904;0
905;2
906;9
907;1
908;4
909;7
910;4
911;7
912;3
913;9
914;8
915;8
916;4
917;7
918;1
919;2
920;1
921;2
922;2
923;3
924;2
925;3
926;2
927;3
928;9
929;1
930;7
931;4
932;0
933;3
934;5
935;5
936;8
937;6
938;3
939;2
940;6
941;7
942;6
943;6
944;3
945;2
946;7
947;8
948;1
949;1
950;7
951;5
952;6
953;4
954;9
955;5
956;1
957;3
958;3
959;4
960;7
961;8
962;9
963;1
964;1
965;6
966;9
967;1
968;4
969;4
970;5
971;4
972;0
973;6
974;2
975;2
976;3
977;1
978;5
979;1
980;2
981;0
982;3
983;8
984;1
985;2
986;6
987;7
988;1
989;6
990;2
991;3
992;9
993;0
994;1
995;2
996;2
997;0
998;8
999;9
1000;9
1001;0
1002;2
1003;5
1004;1
1005;9
1006;7
1007;8
1008;1
1009;0
1010;4
1011;1
1012;7
1013;9
1014;6
1015;4
1016;2
1017;6
1018;8
1019;1
1020;3
1021;7
1022;5
1023;4
1024;4
1025;1
1026;8
1027;1
1028;3
1029;8
1030;1
1031;2
1032;5
1033;8
1034;0
1035;6
1036;2
1037;1
1038;1
